Ticket ID,User Query,Category
T1,How do I get a refund?,Product Quality
T2,How do I get a refund?,Payment Issue
T3,How do I get a refund?,General Inquiry
T4,Payment issue occurred,Delivery Issue
T5,Delivery delayed,Delivery Issue
T6,Product is defective,Support
T7,Need help with my order,Payment Issue
T8,Need help with my order,Support
T9,Payment issue occurred,Support
T10,Need help with my order,Support
T11,Product is defective,General Inquiry
T12,Product is defective,Support
T13,Product is defective,Payment Issue
T14,How do I get a refund?,General Inquiry
T15,Need help with my order,General Inquiry
T16,Product is defective,Product Quality
T17,Product is defective,Product Quality
T18,Delivery delayed,Payment Issue
T19,Payment issue occurred,Payment Issue
T20,Product is defective,Support
T21,Product is defective,Support
T22,Need help with my order,Payment Issue
T23,Delivery delayed,Payment Issue
T24,How do I get a refund?,Support
T25,Need help with my order,Product Quality
T26,Product is defective,Payment Issue
T27,Delivery delayed,Support
T28,How do I get a refund?,Payment Issue
T29,How do I get a refund?,General Inquiry
T30,How do I get a refund?,Support
T31,Delivery delayed,General Inquiry
T32,Payment issue occurred,Support
T33,Delivery delayed,Delivery Issue
T34,How do I get a refund?,Support
T35,Payment issue occurred,Delivery Issue
T36,Payment issue occurred,Support
T37,How do I get a refund?,Product Quality
T38,Payment issue occurred,Product Quality
T39,Product is defective,Payment Issue
T40,Payment issue occurred,Product Quality
T41,Delivery delayed,Payment Issue
T42,Delivery delayed,General Inquiry
T43,Product is defective,General Inquiry
T44,Need help with my order,Product Quality
T45,Payment issue occurred,Support
T46,Need help with my order,General Inquiry
T47,Payment issue occurred,Product Quality
T48,Product is defective,General Inquiry
T49,How do I get a refund?,Support
T50,Payment issue occurred,General Inquiry
T51,Need help with my order,Product Quality
T52,Product is defective,Payment Issue
T53,Delivery delayed,Payment Issue
T54,How do I get a refund?,General Inquiry
T55,Payment issue occurred,General Inquiry
T56,Delivery delayed,Payment Issue
T57,Delivery delayed,General Inquiry
T58,How do I get a refund?,General Inquiry
T59,Product is defective,Delivery Issue
T60,Product is defective,General Inquiry
T61,Product is defective,Support
T62,Delivery delayed,Support
T63,Payment issue occurred,Product Quality
T64,Product is defective,Payment Issue
T65,Need help with my order,Product Quality
T66,Product is defective,Product Quality
T67,Delivery delayed,Delivery Issue
T68,Product is defective,Product Quality
T69,Need help with my order,Product Quality
T70,Payment issue occurred,Payment Issue
T71,How do I get a refund?,Payment Issue
T72,Delivery delayed,Delivery Issue
T73,Product is defective,Delivery Issue
T74,Delivery delayed,General Inquiry
T75,Product is defective,Payment Issue
T76,Payment issue occurred,Support
T77,Product is defective,Payment Issue
T78,Product is defective,Product Quality
T79,How do I get a refund?,General Inquiry
T80,Delivery delayed,Payment Issue
T81,Delivery delayed,Product Quality
T82,Payment issue occurred,Payment Issue
T83,Payment issue occurred,Product Quality
T84,How do I get a refund?,Payment Issue
T85,Product is defective,Delivery Issue
T86,Product is defective,Support
T87,Product is defective,Delivery Issue
T88,Need help with my order,Delivery Issue
T89,Product is defective,Support
T90,Need help with my order,Payment Issue
T91,Need help with my order,Payment Issue
T92,How do I get a refund?,General Inquiry
T93,How do I get a refund?,Delivery Issue
T94,Payment issue occurred,Delivery Issue
T95,Delivery delayed,Delivery Issue
T96,Delivery delayed,Product Quality
T97,How do I get a refund?,General Inquiry
T98,How do I get a refund?,Payment Issue
T99,Need help with my order,General Inquiry
T100,Payment issue occurred,Delivery Issue
T101,Delivery delayed,Support
T102,Delivery delayed,General Inquiry
T103,Payment issue occurred,General Inquiry
T104,Product is defective,General Inquiry
T105,How do I get a refund?,Delivery Issue
